t_real, tv, d_tv, e_p_x, e_p_y,e_p_z, e_o_x, e_o_y, e_o_z, e_v_lin_x, e_v_lin_y, e_v_lin_z, e_v_ang_x, e_v_ang_y, e_v_ang_z,W_0x, W_0y, W_0z,  W_1x, W_1y, W_1z,  W_2x, W_2y, W_2z,  W_3x, W_3y, W_3z,p_c_x, p_c_y, p_c_z,p_d_x, p_d_y, p_d_z,prob0, prob1, prob2, prob3 
0.034,0,1,-0.00689357,0.000136135,0.000190145,0.0318026,-0.000450498,0.000512292,-0.201528,0.00430053,0.0115901,0.709847,-0.0119349,0.0140958,35,35,35,35,35,35,35,35,35,35,35,35,-0.0880998,-0.0162792,0.327001,-0.0812062,-0.0164153,0.326811,1,1,1,1
0.036,0,1,-0.00729315,0.000152297,0.000214142,0.0338044,-0.000518078,0.000585574,-0.201236,0.00420507,0.0123234,0.709342,-0.0121629,0.0145927,35,35,35,35,35,35,35,35,35,35,35,35,-0.0880951,-0.016263,0.327002,-0.080802,-0.0164153,0.326788,1,1,1,1
0.038,0,1,-0.0076969,0.000152297,0.000238734,0.0358602,-0.000514632,0.00059058,-0.200992,0.00420507,0.0129834,0.708693,-0.0121641,0.0145909,35,35,35,35,35,35,35,35,35,35,35,35,-0.0880951,-0.016263,0.327002,-0.0803982,-0.0164153,0.326763,1,1,1,1
0.04,0,1,-0.00809524,0.000168108,0.000265603,0.0378586,-0.000583054,0.000666353,-0.20068,0.00411285,0.0137125,0.708106,-0.0123389,0.0150628,35,35,35,35,35,35,35,35,35,35,35,35,-0.0880902,-0.0162472,0.327003,-0.079995,-0.0164153,0.326737,1,1,1,1
0.042,0,1,-0.00849287,0.000182757,0.000293929,0.0398502,-0.000648998,0.000740489,-0.199965,0.00401102,0.0144572,0.699188,-0.0124127,0.0151919,35,35,35,35,35,35,35,35,35,35,35,35,-0.0880851,-0.0162326,0.327004,-0.0795923,-0.0164153,0.32671,1,1,1,1
0.044,0,1,-0.008895,0.000182757,0.000322471,0.0418999,-0.000645419,0.000745625,-0.19968,0.00401102,0.0151145,0.698432,-0.0124142,0.0151897,35,35,35,35,35,35,35,35,35,35,35,35,-0.0880851,-0.0162326,0.327004,-0.0791902,-0.0164153,0.326682,1,1,1,1
0.046,0,1,-0.00928759,0.000198436,0.000353464,0.0438431,-0.000719947,0.000822343,-0.198184,0.00425026,0.0157555,0.695497,-0.0129394,0.0144933,35,35,35,35,35,35,35,35,35,35,35,35,-0.0880762,-0.0162169,0.327005,-0.0787886,-0.0164153,0.326652,1,1,1,1
0.048,0,1,-0.00967511,0.000215117,0.000385662,0.0457811,-0.00079539,0.000895051,-0.196714,0.00451561,0.0163899,0.693813,-0.0126294,0.0137713,35,35,35,35,35,35,35,35,35,35,35,35,-0.0880628,-0.0162002,0.327006,-0.0783877,-0.0164153,0.326621,1,1,1,1
0.05,0,1,-0.0100754,0.000215117,0.000418136,0.0478236,-0.00079168,0.000900329,-0.196389,0.00451561,0.0170443,0.69295,-0.0126313,0.0137687,35,35,35,35,35,35,35,35,35,35,35,35,-0.0880628,-0.0162002,0.327006,-0.0779875,-0.0164153,0.326588,1,1,1,1
0.052,0,1,-0.0104583,0.00023186,0.000452902,0.0497599,-0.000861036,0.000965901,-0.194975,0.00476529,0.0177033,0.691216,-0.0120752,0.0131159,35,35,35,35,35,35,35,35,35,35,35,35,-0.0880461,-0.0161835,0.327007,-0.0775879,-0.0164153,0.326554,1,1,1,1
0.054,0,1,-0.0108354,0.000250525,0.000489136,0.0516859,-0.000931554,0.00103111,-0.193511,0.00502564,0.018389,0.689408,-0.0113855,0.0124488,35,35,35,35,35,35,35,35,35,35,35,35,-0.0880244,-0.0161648,0.327008,-0.077189,-0.0164153,0.326519,1,1,1,1
0.056,0,1,-0.0112335,0.000250525,0.000525523,0.0537204,-0.000927735,0.00103652,-0.193146,0.00502564,0.01904,0.688438,-0.0113877,0.0124458,35,35,35,35,35,35,35,35,35,35,35,35,-0.0880244,-0.0161648,0.327008,-0.0767909,-0.0164153,0.326483,1,1,1,1
