t_real, tv, d_tv, e_p_x, e_p_y,e_p_z, e_o_x, e_o_y, e_o_z, e_v_lin_x, e_v_lin_y, e_v_lin_z, e_v_ang_x, e_v_ang_y, e_v_ang_z,W_0x, W_0y, W_0z,  W_1x, W_1y, W_1z,  W_2x, W_2y, W_2z,  W_3x, W_3y, W_3z,p_c_x, p_c_y, p_c_z,p_d_x, p_d_y, p_d_z,prob0, prob1, prob2, prob3 
0.032,0.032,1,0.0064648,-6.92383e-05,0.000411788,-0.013072,-0.000634584,-0.00687074,0.202569,0,0.0257843,-0.351548,-0.00390806,0.00020711,35.066,35.066,35,35,35,35,35.1307,35.1307,35,35,35,35,-0.0392787,0.0038566,0.356887,-0.0457435,0.00392583,0.356475,0.98,1,0.9604,1
0.034,0.034,1,0.00685078,-8.46813e-05,0.000468042,-0.0140764,-0.000649205,-0.00686991,0.19299,-0.00772152,0.0281267,-0.309117,-0.0113661,-0.256397,35.072,35.072,35,35,35,35,35.1426,35.1426,35,35,35,35,-0.0392974,0.00384115,0.356888,-0.0461482,0.00392583,0.35642,0.98,1,0.9604,1
0.036,0.036,1,0.00723303,-0.000100055,0.000527786,-0.0149597,-0.000679926,-0.0076024,0.191125,-0.00768688,0.0298722,-0.3024,-0.009133,-0.229401,35.078,35.078,35,35,35,35,35.1544,35.1544,35,35,35,35,-0.0393194,0.00382578,0.35689,-0.0465525,0.00392583,0.356362,0.98,1,0.9604,1
0.038,0.038,1,0.00763679,-0.000100055,0.000589266,-0.0158238,-0.000704731,-0.00825773,0.201876,0,0.0307399,-0.35143,-0.00341858,0.000192599,35.084,35.084,35,35,35,35,35.1663,35.1663,35,35,35,35,-0.0393194,0.00382578,0.35689,-0.0469562,0.00392583,0.356301,0.98,1,0.9604,1
0.04,0.04,1,0.00801376,-0.00011621,0.000655657,-0.0168278,-0.00071865,-0.00825691,0.188488,-0.00807725,0.0331953,-0.297522,-0.00867949,-0.216031,35.09,35.09,35,35,35,35,35.1782,35.1782,35,35,35,35,-0.0393457,0.00380962,0.356891,-0.0473595,0.00392583,0.356236,0.98,1,0.9604,1
0.042,0.042,1,0.00838767,-0.000132253,0.000725211,-0.017678,-0.000742075,-0.00887403,0.186956,-0.00802151,0.0347774,-0.298388,-0.00862955,-0.192887,35.096,35.096,35,35,35,35,35.1901,35.1901,35,35,35,35,-0.0393745,0.00379358,0.356893,-0.0477621,0.00392583,0.356168,0.98,1,0.9604,1
0.044,0.044,1,0.0087898,-0.000132253,0.000796566,-0.0185306,-0.000765919,-0.00942503,0.201062,0,0.0356771,-0.35129,-0.00300645,0.0001804,35.102,35.102,35,35,35,35,35.202,35.202,35,35,35,35,-0.0393745,0.00379358,0.356893,-0.0481643,0.00392583,0.356096,0.98,1,0.9604,1
0.046,0.046,1,0.00915684,-0.000149954,0.000872683,-0.0195343,-0.000779245,-0.00942422,0.183523,-0.00885088,0.0380587,-0.294384,-0.00946616,-0.19176,35.108,35.108,35,35,35,35,35.2138,35.2138,35,35,35,35,-0.039409,0.00377588,0.356894,-0.0485658,0.00392583,0.356022,0.98,1,0.9604,1
0.048,0.048,1,0.00951908,-0.000168414,0.00095193,-0.0203755,-0.000805179,-0.00997203,0.18112,-0.00922969,0.0396234,-0.29397,-0.0101972,-0.180165,35.114,35.114,35,35,35,35,35.2257,35.2257,35,35,35,35,-0.0394476,0.00375742,0.356896,-0.0489667,0.00392583,0.355944,0.98,1,0.9604,1
0.05,0.05,1,0.00991934,-0.000168414,0.00103312,-0.0212154,-0.000833516,-0.0104867,0.200128,0,0.0405928,-0.351128,-0.00263163,0.000165134,35.12,35.12,35,35,35,35,35.2376,35.2376,35,35,35,35,-0.039486,0.00374031,0.356897,-0.049367,0.00392583,0.355863,0.98,1,0.9604,1
0.052,0.052,1,0.0102781,-0.000186552,0.00111868,-0.0222186,-0.000846301,-0.0104859,0.179377,-0.00906887,0.0427814,-0.294424,-0.0102396,-0.16025,35.126,35.126,35,35,35,35,35.2495,35.2495,35,35,35,35,-0.0394884,0.00373928,0.356897,-0.0497665,0.00392583,0.355778,0.98,1,0.9604,1
0.054,0.054,1,0.0106305,-0.000205508,0.00120719,-0.0230599,-0.000875111,-0.0109438,0.176222,-0.00947847,0.0442538,-0.293532,-0.0100142,-0.149953,35.132,35.132,35,35,35,35,35.2614,35.2614,35,35,35,35,-0.0395349,0.00372033,0.356898,-0.0501654,0.00392583,0.35569,0.98,1,0.9604,1
0.056,0.056,1,0.0110287,-0.000205508,0.00129815,-0.0238986,-0.000903588,-0.0113721,0.199073,0,0.0454841,-0.350943,-0.00231893,0.000148734,35.138,35.138,35,35,35,35,35.2732,35.2732,35,35,35,35,-0.0395349,0.00372033,0.356898,-0.0505636,0.00392583,0.355599,0.98,1,0.9604,1
0.058,0.058,1,0.0113708,-0.00022654,0.00139275,-0.0249012,-0.000915921,-0.0113714,0.171074,-0.0105159,0.0472959,-0.294335,-0.0114137,-0.147855,35.144,35.144,35,35,35,35,35.2851,35.2851,35,35,35,35,-0.0395901,0.00369929,0.356898,-0.050961,0.00392583,0.355505,0.98,1,0.9604,1
0.06,0.06,1,0.0117058,-0.000248603,0.00149006,-0.0257422,-0.000948265,-0.0117938,0.167506,-0.0110316,0.0486549,-0.298188,-0.012995,-0.137744,35.15,35.15,35,35,35,35,35.297,35.297,35,35,35,35,-0.0396517,0.00367723,0.356898,-0.0513576,0.00392583,0.355408,0.98,1,0.9604,1
0.062,0.062,1,0.0121016,-0.000248603,0.00159075,-0.0265941,-0.00098555,-0.0121874,0.197899,0,0.0503481,-0.350736,-0.00203113,0.000127718,35.156,35.156,35,35,35,35,35.3089,35.3089,35,35,35,35,-0.0396517,0.00367723,0.356898,-0.0517534,0.00392583,0.355307,0.98,1,0.9604,1
0.064,0.064,1,0.0124059,-0.000279168,0.00169369,-0.0275961,-0.000997466,-0.0121867,0.152143,-0.0152822,0.0514676,-0.287139,-0.0190048,-0.166892,35.162,35.162,35,35,35,35,35.3208,35.3208,35,35,35,35,-0.0397424,0.00364667,0.356897,-0.0521483,0.00392583,0.355203,0.98,1,0.9604,1
0.066,0.066,1,0.0128,-0.000279168,0.00180084,-0.0284165,-0.00105042,-0.0126638,0.19705,0,0.0535742,-0.350586,-0.00186299,0.00011014,35.168,35.168,35,35,35,35,35.3326,35.3326,35,35,35,35,-0.0397424,0.00364667,0.356897,-0.0525424,0.00392583,0.355096,0.98,1,0.9604,1
0.068,0.068,1,0.0131209,-0.000302249,0.00190985,-0.0294181,-0.00106209,-0.0126631,0.160461,-0.0115408,0.0545093,-0.307549,-0.0158795,-0.110458,35.174,35.174,35,35,35,35,35.3445,35.3445,35,35,35,35,-0.0398147,0.00362359,0.356896,-0.0529356,0.00392583,0.354986,0.98,1,0.9604,1
0.07,0.07,1,0.0134338,-0.000326381,0.00202128,-0.0302967,-0.00110854,-0.0129789,0.156436,-0.0120659,0.055715,-0.309098,-0.0164165,-0.10244,35.18,35.18,35,35,35,35,35.3564,35.3564,35,35,35,35,-0.0398987,0.00359808,0.356893,-0.0533279,0.00392583,0.354872,0.98,1,0.9604,1
0.072,0.072,1,0.0138205,-0.000327754,0.00213791,-0.0311797,-0.00115689,-0.0132718,0.193365,-0.000686537,0.0583128,-0.348118,-0.00250544,-0.00538355,35.186,35.186,35,35,35,35,35.3683,35.3683,35,35,35,35,-0.0398987,0.00359808,0.356893,-0.0537193,0.00392583,0.354755,0.98,1,0.9604,1
0.074,0.074,1,0.0141187,-0.00035451,0.00225456,-0.0321742,-0.00117042,-0.0132867,0.149077,-0.0133779,0.0583263,-0.309337,-0.01865,-0.0991527,35.192,35.192,35,35,35,35,35.3802,35.3802,35,35,35,35,-0.039991,0.00357132,0.35689,-0.0541097,0.00392583,0.354635,0.98,1,0.9604,1
0.076,0.076,1,0.0145081,-0.00035451,0.00237771,-0.0330579,-0.00122516,-0.0135703,0.194698,0,0.0615749,-0.350168,-0.00154289,6.25024e-05,35.198,35.198,35,35,35,35,35.392,35.392,35,35,35,35,-0.039991,0.00357132,0.35689,-0.0544991,0.00392583,0.354512,0.98,1,0.9604,1
0.078,0.078,1,0.0147961,-0.000382528,0.00249972,-0.0340583,-0.00123636,-0.0135696,0.143978,-0.014009,0.0610039,-0.311538,-0.0202587,-0.0907626,35.204,35.204,35,35,35,35,35.4039,35.4039,35,35,35,35,-0.0400914,0.00354331,0.356886,-0.0548874,0.00392583,0.354386,0.98,1,0.9604,1
0.08,0.08,1,0.0150748,-0.000411786,0.00262388,-0.0349482,-0.00129599,-0.0138294,0.139379,-0.0146291,0.0620795,-0.313467,-0.0220953,-0.0828141,35.21,35.21,35,35,35,35,35.4158,35.4158,35,35,35,35,-0.0402,0.00351405,0.35688,-0.0552748,0.00392583,0.354256,0.98,1,0.9604,1
0.082,0.082,1,0.0153444,-0.00044225,0.00275019,-0.0358435,-0.0013613,-0.0140665,0.134779,-0.0152319,0.0631553,-0.314628,-0.0239694,-0.0752499,35.216,35.216,35,35,35,35,35.4277,35.4277,35,35,35,35,-0.0403167,0.00348358,0.356874,-0.055661,0.00392583,0.354124,0.98,1,0.9604,1
0.084,0.084,1,0.0157295,-0.00044225,0.00288599,-0.0367421,-0.00143235,-0.0142821,0.192583,0,0.0679022,-0.349791,-0.00129249,-1.84017e-07,35.222,35.222,35,35,35,35,35.4396,35.4396,35,35,35,35,-0.0403167,0.00348358,0.356874,-0.0560462,0.00392583,0.353988,0.98,1,0.9604,1
0.086,0.086,1,0.0159885,-0.000473837,0.00301755,-0.0377414,-0.00144319,-0.0142815,0.129502,-0.0157934,0.0657787,-0.312555,-0.0256192,-0.0679559,35.228,35.228,35,35,35,35,35.4514,35.4514,35,35,35,35,-0.0404417,0.003452,0.356867,-0.0564302,0.00392583,0.353849,0.98,1,0.9604,1
0.088,0.088,1,0.0162517,-0.00050295,0.00315193,-0.0386341,-0.00151919,-0.0144764,0.131577,-0.0145565,0.0671902,-0.309004,-0.0237896,-0.0546805,35.234,35.234,35,35,35,35,35.4633,35.4633,35,35,35,35,-0.0405687,0.00342115,0.356858,-0.0568131,0.00392583,0.353707,0.98,1,0.9604,1
0.09,0.09,1,0.0166261,-0.000504689,0.00329665,-0.0395166,-0.00159061,-0.0146332,0.187223,-0.000869425,0.0723574,-0.346946,-0.00253231,-0.00308664,35.24,35.24,35,35,35,35,35.4752,35.4752,35,35,35,35,-0.0405687,0.00342115,0.356858,-0.0571949,0.00392583,0.353562,0.98,1,0.9604,1
0.092,0.092,1,0.0168635,-0.000538305,0.00343502,-0.0405078,-0.00160493,-0.0146415,0.118666,-0.016808,0.0691844,-0.29924,-0.0280811,-0.054195,35.246,35.246,35,35,35,35,35.4871,35.4871,35,35,35,35,-0.0407119,0.00338753,0.356848,-0.0575754,0.00392583,0.353413,0.98,1,0.9604,1
0.094,0.094,1,0.0172428,-0.000538305,0.00358643,-0.0413623,-0.00168835,-0.0147972,0.18965,0,0.0757086,-0.349265,-0.00111119,-7.58201e-05,35.252,35.252,35,35,35,35,35.499,35.499,35,35,35,35,-0.0407119,0.00338753,0.356848,-0.0579547,0.00392583,0.353262,0.98,1,0.9604,1
0.096,0.096,1,0.0174683,-0.000573033,0.00372962,-0.0423601,-0.00169891,-0.0147967,0.112759,-0.0173642,0.0715961,-0.297556,-0.0300281,-0.0475937,35.258,35.258,35,35,35,35,35.5108,35.5108,35,35,35,35,-0.0408645,0.0033528,0.356837,-0.0583327,0.00392583,0.353107,0.98,1,0.9604,1
0.098,0.098,1,0.0176832,-0.000608878,0.00387456,-0.0432098,-0.00178818,-0.0149338,0.107462,-0.0179225,0.0724672,-0.297262,-0.0321249,-0.0413329,35.264,35.264,35,35,35,35,35.5227,35.5227,35,35,35,35,-0.0410263,0.00331696,0.356824,-0.0587095,0.00392583,0.35295,0.98,1,0.9604,1
0.1,0.1,1,0.0180587,-0.000608878,0.00403522,-0.0440585,-0.0018838,-0.0150531,0.187738,0,0.0803327,-0.348921,-0.00102165,-0.000135942,35.27,35.27,35,35,35,35,35.5346,35.5346,35,35,35,35,-0.0410263,0.00331696,0.356824,-0.059085,0.00392583,0.352789,0.98,1,0.9604,1
0.102,0.102,1,0.0182524,-0.000647789,0.00418427,-0.0450554,-0.00189422,-0.0150526,0.0968678,-0.0194555,0.0745214,-0.293546,-0.0362055,-0.0370317,35.276,35.276,35,35,35,35,35.5465,35.5465,35,35,35,35,-0.0412067,0.00327805,0.35681,-0.0594591,0.00392583,0.352625,0.98,1,0.9604,1
0.104,0.104,1,0.0186252,-0.000647789,0.00435104,-0.0458934,-0.00200164,-0.01516,0.186401,0,0.0833888,-0.34868,-0.000984199,-0.000171094,35.282,35.282,35,35,35,35,35.5584,35.5584,35,35,35,35,-0.0412067,0.00327805,0.35681,-0.0598319,0.00392583,0.352459,0.98,1,0.9604,1
0.106,0.106,1,0.0188152,-0.000685781,0.00450544,-0.0468896,-0.002012,-0.0151596,0.0949858,-0.0189959,0.077198,-0.289834,-0.0360319,-0.029161,35.288,35.288,35,35,35,35,35.5702,35.5702,35,35,35,35,-0.0413882,0.00324005,0.356794,-0.0602034,0.00392583,0.352289,0.98,1,0.9604,1
0.108,0.108,1,0.0190034,-0.000722658,0.00466203,-0.047717,-0.0021193,-0.0152445,0.0941223,-0.0184382,0.0782958,-0.284364,-0.0351767,-0.0221841,35.294,35.294,35,35,35,35,35.5821,35.5821,35,35,35,35,-0.0415803,0.0032011,0.356777,-0.0605734,0.00392583,0.352116,0.98,1,0.9604,1
0.11,0.11,1,0.0193617,-0.000724738,0.00483694,-0.0485287,-0.0022245,-0.0153094,0.179111,-0.00103997,0.0874556,-0.344748,-0.00288428,-0.00131806,35.3,35.3,35,35,35,35,35.594,35.594,35,35,35,35,-0.0415803,0.0032011,0.356777,-0.060942,0.00392583,0.35194,0.98,1,0.9604,1
