t_real	tv	d_tv	e_p_x	e_p_y	e_p_z	e_o_x	e_o_y	e_o_z	e_v_lin_x	e_v_lin_y	e_v_lin_z	e_v_ang_x	e_v_ang_y	e_v_ang_z
0.07	0.07	1	0.0144188	-0.000181034	0.00237011	-0.0328263	-0.000125948	2.58969e-05	0.166727	-0.00643672	0.0644755	-0.313792	-0.0135539	0.00559558
0.072	0.072	1	0.014744	-0.000194615	0.002502	-0.0337207	-0.000170332	4.21892e-05	0.162577	-0.00679085	0.0659464	-0.313032	-0.0154452	0.00592786
0.074	0.074	1	0.0151613	-0.000194615	0.0026408	-0.0347214	-0.00016428	4.24523e-05	0.208673	0	0.0694001	-0.350255	0.00211148	2.66101e-05
0.076	0.076	1	0.0154824	-0.000208126	0.00277952	-0.0356191	-0.0002109	5.8371e-05	0.160537	-0.00675542	0.0693581	-0.314208	-0.0162267	0.00581888
0.078	0.078	1	0.0157958	-0.000222256	0.00292121	-0.0365149	-0.000262179	7.45773e-05	0.156725	-0.00706483	0.0708486	-0.313529	-0.0178553	0.00594779
0.08	0.08	1	0.0160945	-0.000237944	0.00306544	-0.0373972	-0.000319164	9.23644e-05	0.14932	-0.00784399	0.0721148	-0.308786	-0.0198419	0.00653699
0.082	0.082	1	0.0165067	-0.000237944	0.00321884	-0.0383969	-0.000313143	9.25418e-05	0.206102	0	0.0766979	-0.349887	0.00209093	-3.29353e-05
0.084	0.084	1	0.0167928	-0.000254676	0.00336898	-0.0392739	-0.000371187	0.00011168	0.143079	-0.00836615	0.0750678	-0.306974	-0.0202	0.00702774
0.086	0.086	1	0.017075	-0.000271527	0.00352169	-0.0401542	-0.000430299	0.000131151	0.141102	-0.00842563	0.0763555	-0.308094	-0.0205717	0.00715129
0.088	0.088	1	0.017347	-0.00028935	0.00367662	-0.0410314	-0.000495196	0.000151554	0.135968	-0.00891123	0.077469	-0.307028	-0.0225892	0.00751717
0.09	0.09	1	0.0177535	-0.00028935	0.00384443	-0.0420299	-0.000489212	0.000151633	0.203277	0	0.0839008	-0.34948	0.00206663	-0.000101627
0.092	0.092	1	0.0180054	-0.000309205	0.00400454	-0.0428969	-0.00056471	0.000173724	0.12593	-0.00992729	0.0800591	-0.303427	-0.0262821	0.00819698
0.094	0.094	1	0.0182371	-0.000331246	0.00416605	-0.0437534	-0.000651848	0.000197302	0.115842	-0.0110207	0.080755	-0.299795	-0.0303435	0.00880351
0.096	0.096	1	0.0186302	-0.000332378	0.00434381	-0.0447438	-0.000650743	0.000198476	0.196553	-0.000566295	0.0888792	-0.346649	0.000359468	0.000289043
0.098	0.098	1	0.0188661	-0.000353257	0.00451232	-0.045611	-0.000735267	0.000219736	0.117985	-0.0104391	0.0842543	-0.303504	-0.0294426	0.0079862
0.1	0.1	1	0.0192649	-0.000353257	0.00469784	-0.0466079	-0.000729327	0.000219681	0.199391	0	0.0927574	-0.348919	0.00203752	-0.000194233
0.102	0.102	1	0.019479	-0.0003763	0.00487125	-0.0474644	-0.000825334	0.000242019	0.107028	-0.0115218	0.086709	-0.299779	-0.033447	0.0084721
0.104	0.104	1	0.0196816	-0.000400367	0.00504679	-0.0483178	-0.00092788	0.000264227	0.101307	-0.0120335	0.0877657	-0.298689	-0.0357357	0.00848022
