t_real, tv, d_tv, e_p_x, e_p_y,e_p_z, e_o_x, e_o_y, e_o_z, e_v_lin_x, e_v_lin_y, e_v_lin_z, e_v_ang_x, e_v_ang_y, e_v_ang_z,W_0x, W_0y, W_0z,  W_1x, W_1y, W_1z,  W_2x, W_2y, W_2z,  W_3x, W_3y, W_3z,p_c_x, p_c_y, p_c_z,p_d_x, p_d_y, p_d_z,prob0, prob1, prob2, prob3 
0.032,0.032,1,0.00690739,-8.15164e-05,0.000507016,-0.0145739,-0.000112157,-9.17382e-05,0.205554,-0.00506042,0.030803,-0.324415,-0.00626733,-0.00312532,35,35,35,35,35,35,35,35,35,35,35,35,-0.0463963,-0.00369154,0.356264,-0.0533037,-0.00361002,0.355757,1,1,1,1
0.034,0.034,1,0.00734259,-8.15164e-05,0.000570629,-0.0155782,-0.000118863,-9.24276e-05,0.217599,0,0.0318063,-0.351522,-0.00233272,-0.000243987,35,35,35,35,35,35,35,35,35,35,35,35,-0.0463963,-0.00369154,0.356264,-0.0537389,-0.00361002,0.355693,1,1,1,1
0.036,0.036,1,0.00774934,-9.17683e-05,0.000639808,-0.0165046,-0.000139575,-0.000101382,0.203375,-0.00512593,0.0345897,-0.324243,-0.0072571,-0.00309943,35,35,35,35,35,35,35,35,35,35,35,35,-0.0464242,-0.00370179,0.356266,-0.0541735,-0.00361002,0.355626,1,1,1,1
0.038,0.038,1,0.00815226,-0.000102155,0.000712698,-0.0174307,-0.000163026,-0.000110293,0.201461,-0.0051934,0.0364449,-0.324107,-0.00821517,-0.00307669,35,35,35,35,35,35,35,35,35,35,35,35,-0.0464553,-0.00371218,0.356267,-0.0546075,-0.00361002,0.355554,1,1,1,1
0.04,0.04,1,0.00858563,-0.000102155,0.000787772,-0.0184346,-0.000169721,-0.000110998,0.216683,0,0.0375368,-0.351393,-0.00232612,-0.000255119,35,35,35,35,35,35,35,35,35,35,35,35,-0.0464877,-0.00372214,0.356269,-0.0550409,-0.00361002,0.355479,1,1,1,1
0.042,0.042,1,0.00898403,-0.000112681,0.000868149,-0.0193601,-0.000195838,-0.000119883,0.1992,-0.00526289,0.0401887,-0.323918,-0.00914989,-0.00305627,35,35,35,35,35,35,35,35,35,35,35,35,-0.0464896,-0.0037227,0.356269,-0.0554736,-0.00361002,0.355401,1,1,1,1
0.044,0.044,1,0.0093691,-0.000125692,0.000952888,-0.02026,-0.000226816,-0.000129678,0.192538,-0.00650544,0.0423693,-0.314975,-0.0108548,-0.00335852,35,35,35,35,35,35,35,35,35,35,35,35,-0.0465387,-0.00373629,0.356271,-0.0559056,-0.00361002,0.355318,1,1,1,1
0.046,0.046,1,0.00979811,-0.000126273,0.00103946,-0.0212588,-0.000234475,-0.000130727,0.214504,-0.000290422,0.0432876,-0.349576,-0.00266162,-0.000379894,35,35,35,35,35,35,35,35,35,35,35,35,-0.0465387,-0.00373629,0.356271,-0.0563368,-0.00361002,0.355231,1,1,1,1
0.048,0.048,1,0.0101857,-0.000136972,0.00113123,-0.0221759,-0.000259258,-0.000136143,0.193793,-0.00534961,0.0458849,-0.320979,-0.00867204,-0.00184433,35,35,35,35,35,35,35,35,35,35,35,35,-0.0465816,-0.00374699,0.356272,-0.0567673,-0.00361002,0.355141,1,1,1,1
0.05,0.05,1,0.0106153,-0.000136972,0.00122529,-0.0231791,-0.000265937,-0.00013688,0.214824,0,0.0470277,-0.351129,-0.00231672,-0.000277692,35,35,35,35,35,35,35,35,35,35,35,35,-0.0465816,-0.00375005,0.356273,-0.0571969,-0.00361002,0.355047,1,1,1,1
0.052,0.052,1,0.0109932,-0.000148775,0.00132423,-0.0240893,-0.000295056,-0.000140291,0.188925,-0.00590169,0.0494706,-0.318568,-0.0101826,-0.00112237,35,35,35,35,35,35,35,35,35,35,35,35,-0.0466325,-0.0037588,0.356273,-0.0576257,-0.00361002,0.354949,1,1,1,1
0.054,0.054,1,0.0113644,-0.000161115,0.00142642,-0.0249971,-0.000328676,-0.000141375,0.185578,-0.0061699,0.0510946,-0.317728,-0.0117485,-0.000289301,35,35,35,35,35,35,35,35,35,35,35,35,-0.0466893,-0.00377114,0.356274,-0.0580536,-0.00361002,0.354848,1,1,1,1
0.056,0.056,1,0.0117914,-0.000161115,0.00153178,-0.0259998,-0.00033535,-0.000142136,0.213508,0,0.0526797,-0.350941,-0.0023146,-0.000295326,35,35,35,35,35,35,35,35,35,35,35,35,-0.0466893,-0.00377114,0.356274,-0.0584807,-0.00361002,0.354742,1,1,1,1
0.058,0.058,1,0.0121549,-0.000173994,0.00164096,-0.0269049,-0.000373582,-0.000141019,0.181759,-0.00643931,0.0545904,-0.316781,-0.0133528,0.00050621,35,35,35,35,35,35,35,35,35,35,35,35,-0.0467518,-0.00378401,0.356274,-0.0589067,-0.00361002,0.354633,1,1,1,1
0.06,0.06,1,0.01258,-0.000173994,0.00175381,-0.0279072,-0.000380254,-0.000141796,0.212548,0,0.0564276,-0.350805,-0.00231448,-0.0003065,35,35,35,35,35,35,35,35,35,35,35,35,-0.0467518,-0.00378401,0.356274,-0.0593318,-0.00361002,0.35452,1,1,1,1
0.062,0.062,1,0.0129245,-0.000189565,0.00186981,-0.0287941,-0.000429334,-0.000138009,0.172237,-0.00778595,0.0579965,-0.310421,-0.0171367,0.00149836,35,35,35,35,35,35,35,35,35,35,35,35,-0.0468315,-0.00379959,0.356273,-0.0597559,-0.00361002,0.354404,1,1,1,1
0.064,0.064,1,0.0132766,-0.000202824,0.00198907,-0.0297003,-0.000475348,-0.000133515,0.176096,-0.00662939,0.0596317,-0.317168,-0.0160598,0.00172901,35,35,35,35,35,35,35,35,35,35,35,35,-0.0469023,-0.00381284,0.356272,-0.060179,-0.00361002,0.354283,1,1,1,1
0.066,0.066,1,0.013657,-0.000210391,0.0021123,-0.0306483,-0.000505608,-0.000130909,0.204831,-0.00112749,0.061904,-0.344958,-0.00474477,3.83691e-05,35,35,35,35,35,35,35,35,35,35,35,35,-0.0469784,-0.00382657,0.356271,-0.0606009,-0.00361002,0.354159,1,1,1,1
