t_real, tv, d_tv, e_p_x, e_p_y,e_p_z, e_o_x, e_o_y, e_o_z, W_0x, W_0z,  W_1x, W_1z,  W_2x, W_2z,  W_3x, W_3z,p_c_x, p_c_y, p_c_z,prob0, prob1, prob2, prob3,g_l0_x, g_l0_y, g_l0_z,g_l1_x, g_l1_y, g_l1_z,g_l2_x, g_l2_y, g_l2_z,g_l3_x, g_l3_y, g_l3_z, 
0.002,0,1,-0.000408403,0,6.67182e-07,0.00207341,9.79831e-06,1.82988e-06,35,35,35,35,35,35,35,35,0.0152903,-0.0296488,0.32806,1,1,1,1,0.234108,-0.162,0.0223382,0.231383,0.10668,0.0223323,-0.141487,-0.164856,0.0222785,-0.144437,0.102933,0.0222758
0.004,0,1,-0.00081608,-1.72093e-07,3.1461e-06,0.00413304,2.00659e-05,2.71151e-06,35,35,35,35,35,35,35,35,0.015291,-0.0296489,0.32806,1,1,1,1,0.234109,-0.162005,0.0223404,0.231384,0.106676,0.0223308,-0.141486,-0.16486,0.0222809,-0.144436,0.102929,0.0222745
0.006,0,1,-0.0012244,-1.72093e-07,6.48178e-06,0.00620614,2.98618e-05,4.54056e-06,35,35,35,35,35,35,35,35,0.015291,-0.0296489,0.32806,1,1,1,1,0.234109,-0.162005,0.0223404,0.231384,0.106676,0.0223308,-0.141486,-0.16486,0.0222809,-0.144436,0.102929,0.0222745
0.008,0,1,-0.00163239,-1.33699e-06,1.28837e-05,0.00728806,3.18854e-05,-1.28908e-06,35,35,35,35,35,35,35,35,0.0152913,-0.0296501,0.328062,1,1,1,1,0.23411,-0.162311,0.0224751,0.231387,0.10637,0.0221993,-0.141485,-0.165163,0.0224156,-0.144432,0.102626,0.0221438
0.01,0,1,-0.00204052,-1.33699e-06,1.8887e-05,0.00936044,4.16708e-05,5.42531e-07,35,35,35,35,35,35,35,35,0.0152913,-0.0296501,0.328062,1,1,1,1,0.23411,-0.162311,0.0224751,0.231387,0.10637,0.0221993,-0.141485,-0.165163,0.0224156,-0.144432,0.102626,0.0221438
0.012,0,1,-0.00244777,5.64872e-06,2.82786e-05,0.010276,3.8335e-05,9.39013e-06,35,35,35,35,35,35,35,35,0.015292,-0.0296431,0.328064,1,1,1,1,0.234116,-0.162655,0.0226337,0.231391,0.106024,0.0220471,-0.141479,-0.16551,0.0225725,-0.144429,0.102278,0.021991
0.014,0,1,-0.00285474,2.11983e-05,3.89224e-05,0.0120299,4.38492e-05,3.27553e-05,35,35,35,35,35,35,35,35,0.0152929,-0.0296276,0.328066,1,1,1,1,0.234121,-0.162732,0.0226788,0.231391,0.105948,0.022007,-0.141474,-0.165595,0.0226169,-0.144429,0.102193,0.0219505
0.016,0,1,-0.00326238,2.11983e-05,4.89239e-05,0.0141004,5.36567e-05,3.45961e-05,35,35,35,35,35,35,35,35,0.0152929,-0.0296276,0.328066,1,1,1,1,0.234121,-0.162732,0.0226788,0.231391,0.105948,0.022007,-0.141474,-0.165595,0.0226169,-0.144429,0.102193,0.0219505
0.018,0,1,-0.00366891,3.91574e-05,6.27375e-05,0.0160938,6.24459e-05,6.04883e-05,35,35,35,35,35,35,35,35,0.0152938,-0.0296096,0.328068,1,1,1,1,0.234126,-0.162732,0.0226917,0.231389,0.105947,0.0219994,-0.141469,-0.165604,0.0226295,-0.144431,0.102184,0.0219427
0.02,0,1,-0.00407507,5.71089e-05,7.84473e-05,0.0180888,7.01996e-05,8.61188e-05,35,35,35,35,35,35,35,35,0.0152948,-0.0295917,0.328071,1,1,1,1,0.234131,-0.162731,0.0227051,0.231387,0.105948,0.021993,-0.141464,-0.165612,0.0226423,-0.144433,0.102176,0.0219357
0.022,0,1,-0.00448197,5.71089e-05,9.2441e-05,0.0201566,8.00435e-05,8.79597e-05,35,35,35,35,35,35,35,35,0.0152948,-0.0295917,0.328071,1,1,1,1,0.234131,-0.162731,0.0227051,0.231387,0.105948,0.021993,-0.141464,-0.165612,0.0226423,-0.144433,0.102176,0.0219357
0.024,0,1,-0.00488742,7.50316e-05,0.000111324,0.0221493,8.71121e-05,0.000113475,35,35,35,35,35,35,35,35,0.0152959,-0.0295737,0.328075,1,1,1,1,0.234136,-0.162731,0.0227192,0.231386,0.105948,0.0219872,-0.141459,-0.165621,0.0226554,-0.144434,0.102167,0.021929
0.026,0,1,-0.00529239,9.2936e-05,0.000132006,0.0241409,9.3547e-05,0.000138891,35,35,35,35,35,35,35,35,0.0152972,-0.0295558,0.328079,1,1,1,1,0.234141,-0.16273,0.0227338,0.231385,0.105949,0.021982,-0.141453,-0.165629,0.0226689,-0.144434,0.102159,0.0219227
0.028,0,1,-0.00569832,9.2936e-05,0.000149983,0.026205,0.000103422,0.000140734,35,35,35,35,35,35,35,35,0.0152972,-0.0295558,0.328079,1,1,1,1,0.234141,-0.16273,0.0227338,0.231385,0.105949,0.021982,-0.141453,-0.165629,0.0226689,-0.144434,0.102159,0.0219227
0.03,0,1,-0.00610239,0.000110832,0.000173751,0.0281939,0.000109307,0.00016607,35,35,35,35,35,35,35,35,0.0152987,-0.0295379,0.328083,1,1,1,1,0.234147,-0.16273,0.022749,0.231385,0.105949,0.0219775,-0.141447,-0.165637,0.0226827,-0.144434,0.10215,0.0219168
0.032,0,1,-0.00650753,0.000110832,0.000194378,0.0302549,0.000119192,0.000167914,35,35,35,35,35,35,35,35,0.0152987,-0.0295379,0.328083,1,1,1,1,0.234133,-0.161983,0.0223391,0.231412,0.106678,0.0223339,-0.141462,-0.164838,0.0222777,-0.144403,0.102925,0.0222735
